,Unnamed: 0,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Estádio,Time
54,3,2023-05-06,16:00,Série A,Rodada da semana 4,sáb,Em casa,V,2.0,1.0,Santos,1.6,1.0,55.0,,Rafael Cabral,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Independência,Cruzeiro
55,4,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,D,0.0,2.0,Fluminense,2.1,1.2,48.0,,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,Mineirão,Cruzeiro
56,6,2023-05-22,20:00,Série A,Rodada da semana 7,seg,Em casa,D,0.0,1.0,Cuiabá,1.2,1.2,65.0,,Rafael Cabral,4-3-3,Savio Pereira,Relatório da Partida,Arena do Jacaré,Cruzeiro
57,8,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,D,0.0,1.0,Atlético Mineiro,1.8,0.6,64.0,,Rafael Cabral,4-3-3,Savio Pereira,Relatório da Partida,Parque do Sabiá,Cruzeiro
58,10,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Em casa,D,0.0,1.0,Fortaleza,1.1,1.8,67.0,28.494,Rafael Cabral,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,Mineirão,Cruzeiro
59,11,2023-06-24,21:00,Série A,Rodada da semana 12,sáb,Em casa,V,1.0,0.0,São Paulo,0.5,1.4,31.0,,Rafael Cabral,4-3-3,Ramon Abatti Abel,Relatório da Partida,Independência,Cruzeiro
60,1,2023-04-22,17:30,Série A,Rodada da semana 2,sáb,Em casa,E,1.0,1.0,Bragantino,1.2,0.9,34.0,9.267,Marllon Borges,4-2-3-1,Caio Max Augusto Vieira,Relatório da Partida,Arena Pantanal,Cuiaba
61,2,2023-04-30,17:30,Série A,Rodada da semana 3,dom,Em casa,D,1.0,2.0,Grêmio,1.2,1.7,50.0,21.385,Marllon Borges,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,Arena Pantanal,Cuiaba
62,4,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,D,0.0,4.0,Atlético Mineiro,0.2,2.8,47.0,12.029,Marllon Borges,4-2-3-1,Wilton Sampaio,Relatório da Partida,Arena Pantanal,Cuiaba
63,7,2023-05-27,17:30,Série A,Rodada da semana 8,sáb,Em casa,E,1.0,1.0,Coritiba,0.7,1.0,43.0,,Walter,4-3-3,Denis da Silva Ribeiro Serafim,Relatório da Partida,Arena Pantanal,Cuiaba
64,10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,D,0.0,1.0,Botafogo (RJ),1.1,1.2,52.0,,Walter,4-1-4-1,Flavio Rodrigues de Souza,Relatório da Partida,Arena Pantanal,Cuiaba
65,12,2023-07-02,17:30,Série A,Rodada da semana 13,dom,Em casa,V,3.0,0.0,Santos,1.1,0.3,48.0,,Walter,4-3-3,Bruno Mota Correia,Relatório da Partida,Arena Pantanal,Cuiaba
66,1,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Em casa,V,3.0,0.0,Coritiba,1.4,0.4,58.0,42.848,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã,Flamengo
67,4,2023-04-30,16:00,Série A,Rodada da semana 3,dom,Em casa,D,2.0,3.0,Botafogo (RJ),3.1,1.9,74.0,53.138,Gabriel Barbosa,3-4-3,Edina Alves Batista,Relatório da Partida,Maracanã,Flamengo
68,7,2023-05-10,20:00,Série A,Rodada da semana 5,qua,Em casa,V,2.0,0.0,Goiás,2.6,0.7,57.0,,Everton Ribeiro,4-2-3-1,Savio Pereira,Relatório da Partida,Maracanã,Flamengo
69,9,2023-05-21,16:00,Série A,Rodada da semana 7,dom,Em casa,V,1.0,0.0,Corinthians,0.6,1.2,64.0,,Gabriel Barbosa,4-2-2-2,Rafael Rodrigo Klein,Relatório da Partida,Maracanã,Flamengo
70,11,2023-05-27,18:30,Série A,Rodada da semana 8,sáb,Em casa,E,1.0,1.0,Cruzeiro,2.0,1.2,62.0,,Gabriel Barbosa,4-3-1-2,Luiz Flávio de Oliveira,Relatório da Partida,Maracanã,Flamengo
71,14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Em casa,V,3.0,0.0,Grêmio,1.9,2.0,52.0,,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,Maracanã,Flamengo
72,18,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Em casa,V,2.0,0.0,Fortaleza,1.4,1.5,58.0,,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,Maracanã,Flamengo
73,3,2023-04-22,16:00,Série A,Rodada da semana 2,sáb,Em casa,V,2.0,0.0,Atl Paranaense,0.8,0.6,62.0,38.598,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,Maracanã,Fluminense
74,6,2023-05-06,21:00,Série A,Rodada da semana 4,sáb,Em casa,E,1.0,1.0,Vasco da Gama,1.8,0.7,79.0,,Nino,4-2-3-1,Wilton Sampaio,Relatório da Partida,Maracanã,Fluminense
75,8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,V,2.0,0.0,Cuiabá,0.9,0.9,61.0,,Nino,4-2-3-1,Edina Alves Batista,Relatório da Partida,Maracanã,Fluminense
76,12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2.0,1.0,Bragantino,1.1,0.6,51.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,Maracanã,Fluminense
77,15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Em casa,E,1.0,1.0,Atlético Mineiro,0.4,1.4,49.0,,Nino,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,Sylvio Raulino de Oliveira,Fluminense
78,16,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Em casa,V,2.0,1.0,Bahia,3.0,1.0,49.0,24.507,Nino,4-2-3-1,Savio Pereira,Relatório da Partida,Maracanã,Fluminense
